ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
17609,Camelin,M,NA,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
17893,Fernand mile Canelle,M,18,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
18879,Andr Castanet,M,NA,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
19094,Jean Baptiste Albert Joseph Cau,M,25,NA,NA,Cercle de l'Aviron Roubaix-4,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
19115,Auguste Baptiste Cavadini,M,34,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
19658,mile Julien Champion,M,20,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Silver
19661,Albert Alphonse Champoudry,M,20,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
19874,Jean-Baptiste tienne August Charcot,M,23,NA,NA,Quand-Mme-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Silver
19874,Jean-Baptiste tienne August Charcot,M,23,NA,NA,Quand-Mme-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Silver
19917,Charlot,M,NA,NA,NA,Cercle de l'Aviron Roubaix-4,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
19973,Jean Chastani,M,24,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",Bronze
19973,Jean Chastani,M,24,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
21899,Justinien Charles Xavier Clary (Bretonneau-),M,40,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,Shooting Men's Trap,Bronze
22028,Jules Clvenot,M,23,NA,NA,Libellule de Paris,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
22406,Jean Collas,M,25,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
22406,Jean Collas,M,25,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
23334,mile Louis Franois Dsir Coste,M,38,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Individual",Gold
23439,Eugne Coulon,M,NA,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
25505,Auguste Mose Daumain,M,22,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Cycling,Cycling Men's 25 kilometres,Bronze
25904,mile Roger de Thomas de Barbarin,M,39,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,Shooting Men's Trap,Gold
26039,Louis Marie Joseph Le Beschu de Champsavin,M,32,166,NA,France,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
26058,de Cottignon,M,NA,NA,NA,Gwendoline-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Bronze
26246,Luc Henri Herv Guy Gardye de la Chapelle,M,31,NA,NA,France-1,FRA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Bronze
26259,Louis Verrant Gabriel Le Bailly de la Falaise,M,34,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Sabre, Individual",Gold
26408,Jean Pierre Marie Joseph  De Madre De Loos,M,37,NA,NA,"BLO Polo Club, Rugby",FRA,1900 Summer,1900,Summer,Paris,Polo,Polo Men's Polo,Silver
26465,Robert de Montesquiou-Fzensac,M,45,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,Bronze
26490,Jean Frdric Andr Poupart de Neuflize,M,49,NA,NA,France-1,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,Bronze
26569,de Prunel,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed Long Jump,Bronze
26608,douard Alphonse de Rothschild,M,32,NA,NA,"Bagatelle Polo Club, Paris",FRA,1900 Summer,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
26903,Jean lie Louis Octave Guillaume Svre Amanieu Decazes et de Glucksbierg,M,36,NA,NA,Quand-Mme-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 10-20 Ton,Silver
26951,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,17,NA,NA,United States/France,FRA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Silver
26953,Alphonse Decuyper,M,NA,NA,NA,Libellule de Paris,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
27223,mile Henri Delchambre,M,24,NA,NA,Cercle de l'Aviron Roubaix-4,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
27384,Henry Lon mile Deloge,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Silver
27384,Henry Lon mile Deloge,M,25,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
27404,Carlos Deltour,M,36,NA,NA,Rowing Club Castillon-3,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
27421,Georges Lucien Dmanet,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
27933,Charles Devendeville,M,18,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's Underwater Swimming,Gold
29418,"Joseph Augustin ""Auguste"" Donny",M,49,NA,NA,Mignon-3,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Bronze
29661,Jacques Doucet,M,NA,NA,NA,Favorite-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Silver
29661,Jacques Doucet,M,NA,NA,NA,Favorite-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Silver
30274,A. Dubois,M,NA,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
30274,A. Dubois,M,NA,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
30285,J. Dubois,M,NA,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
30285,J. Dubois,M,NA,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
30299,Dubosq,M,NA,NA,NA,Nina Claire-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
30724,R. Duparc,M,NA,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
30898,Louis Charles Marie Dutfoy,M,40,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
30927,Albert Duval,M,NA,NA,NA,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
30927,Albert Duval,M,NA,NA,NA,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
34033,Fardel,M,NA,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
35448,Fiolet,M,NA,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
35601,mile Lon Fisseux,M,32,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,"Archery Men's Au Cordon Dore, 50 metres",Bronze
36535,Mortimer Henri Robert Fournier-Sarlovze,M,31,NA,NA,"Bagatelle Polo Club, Paris",FRA,1900 Summer,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
36903,Maurice Eugne Fraysse,M,20,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
37926,Ren Paul Virgile Gaillard,M,22,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
38736,Dominique Maximien Gardres,M,43,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed High Jump,Gold
38830,Georges Garnier,M,NA,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
39072,Charles Andr Gaudin,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Single Sculls,Silver
39119,"Henry Jean Guy ""Jean-Guy"" Gautier",M,24,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
39416,Gell,M,NA,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
39839,Pierre Gervais,M,NA,NA,NA,Baby-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Gold
39839,Pierre Gervais,M,NA,NA,NA,Baby-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Bronze
40255,Henri Joseph Marcel Gilardoni,M,24,NA,NA,Femur-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Gold
40576,Auguste Paul Almire Giroux,M,25,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
40973,Victor Auguste Godinet,M,47,NA,NA,Favorite-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Silver
40973,Victor Auguste Godinet,M,47,NA,NA,Favorite-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Silver
41407,Charles Marius Duma Adolphe Gondouin,M,24,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
41407,Charles Marius Duma Adolphe Gondouin,M,24,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
42370,Ren Grandjean,M,NA,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
43310,mile Grumiaux,M,38,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,Archery Men's Sur La Perche a La Pyramide,Gold
43650,Henri Napolon Marie Maurice Gufflet,M,36,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
43650,Henri Napolon Marie Maurice Gufflet,M,36,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
43651,Robert Gufflet,M,16,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
43651,Robert Gufflet,M,16,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
43765,Charles Guiraist,M,NA,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
43765,Charles Guiraist,M,NA,NA,NA,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
46896,Henri Alphonse Hazebrouck (Charlet-),M,22,NA,NA,Cercle de l'Aviron Roubaix-4,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
47421,Henri Hyacinthe Helle,M,26,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,"Archery Men's Au Chapelet, 50 metres",Silver
48121,"Henri Louis Hrouin, Sr.",M,24,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,"Archery Men's Au Cordon Dore, 50 metres",Gold
48121,"Henri Louis Hrouin, Sr.",M,24,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,Archery Men's Championnat Du Monde,Gold
48220,Jean Herv,M,NA,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
49000,Maurice Louis Hochepied,M,18,NA,NA,Tritons Lillois-2,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Silver
49001,Victor Fernand Hochepied,M,16,NA,NA,Tritons Lillois-2,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Silver
50894,Charles Hugo,M,NA,NA,NA,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
50894,Charles Hugo,M,NA,NA,NA,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
51292,Lucien Paul Nol Huteau,M,21,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
54105,mile Jean-Fontaine,M,NA,NA,NA,Gwendoline-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Bronze
55286,Georges douard Johin,M,22,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Croquet,"Croquet Mixed Singles, One Ball",Silver
55286,Georges douard Johin,M,22,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Croquet,Croquet Mixed Doubles,Gold
60671,Simon Alphonse Kirchhoffer,M,26,170,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Masters, Individual",Silver
66151,Marcel Lambert,M,NA,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
66682,Marie Victor Xavier Lardanchet,M,36,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
67086,Louis Alexandre Laufray,M,18,NA,NA,Libellule de Paris,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
67126,Henri Albert Fernand Laurent,M,19,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Masters, Individual",Bronze
67492,Gabriel Charles Jean Le Bret,M,27,NA,NA,Crabe II-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
67492,Gabriel Charles Jean Le Bret,M,27,NA,NA,Crabe II-4,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
67525,Jacques le Lavasseur,M,NA,NA,NA,Olle,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
67525,Jacques le Lavasseur,M,NA,NA,NA,Olle,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
67726,Maurice Marie Lecoq,M,46,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
67726,Maurice Marie Lecoq,M,46,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
68265,Hubert Jean Daniel Lefbvre,M,21,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
69072,Georges Robert Flix Constant Leuillieux,M,20,NA,NA,Pupilles de Neptune de Lille-1,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Bronze
70374,Robert Linzeler,M,28,NA,NA,Quand-Mme-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Silver
70374,Robert Linzeler,M,28,NA,NA,Quand-Mme-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Silver
72221,Georges Joseph Lumpp,M,25,NA,NA,Club Nautique de Lyon-2,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Silver
72827,Maurice Macaire,M,18,NA,NA,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
74622,douard Mantois,M,NA,NA,NA,Nina Claire-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
74733,Auguste Jean Baptiste Louis Joseph Marc,M,19,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
74870,Flix mile Marcotte,M,34,NA,NA,Crabe II-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
74870,Flix mile Marcotte,M,34,NA,NA,Crabe II-4,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
75597,Louis Martin,M,NA,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
75597,Louis Martin,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Swimming,"Swimming Men's 4,000 metres Freestyle",Bronze
75597,Louis Martin,M,NA,NA,NA,Pupilles de Neptune de Lille-1,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Bronze
75648,Charles William Martin,M,71,NA,NA,Crabe II-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
75648,Charles William Martin,M,71,NA,NA,Crabe II-4,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
75677,Lucien Martinet,M,NA,NA,NA,Societ Nautique de la Marne-1,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Silver
76249,Eugne Henri Masson,M,28,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Individual",Silver
78807,Marcel Meran,M,NA,NA,NA,Scamasaxe-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
78807,Marcel Meran,M,NA,NA,NA,Scamasaxe-3,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
78845,Dsir Alfred Mrchez,M,17,NA,NA,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
78845,Dsir Alfred Mrchez,M,17,NA,NA,Pupilles de Neptune de Lille-1,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Bronze
78848,mile Mercier,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,"Archery Men's Au Chapelet, 50 metres",Bronze
78885,Louis Lucien Mrignac,M,26,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Masters, Individual",Gold
79304,Mathias Joseph Ferdinand Jules Henri Mialaret,M,44,NA,NA,Favorite-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Silver
79304,Mathias Joseph Ferdinand Jules Henri Mialaret,M,44,NA,NA,Favorite-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Silver
79412,Camille mile Gaston Michelet,M,32,NA,NA,Turquoise-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed Open,Bronze
